ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
TX-465,Val Verde County,Texas,71.8,4.4,130,67.5
TX-467,Van Zandt County,Texas,67.2,2.7,127,64.4
TX-469,Victoria County,Texas,73.5,4.1,130,69.4
TX-471,Walker County,Texas,69.5,2.4,128,67
TX-473,Waller County,Texas,72.1,4.3,130,67.9
TX-475,Ward County,Texas,69.4,5,130,64.4
TX-477,Washington County,Texas,71.8,4.3,130,67.5
TX-479,Webb County,Texas,76.2,4.5,130,71.6
TX-481,Wharton County,Texas,72.9,4.2,130,68.7
TX-483,Wheeler County,Texas,63.1,4.7,130,58.4
TX-485,Wichita County,Texas,66.9,3.9,130,63
TX-487,Wilbarger County,Texas,66.7,3.9,130,62.7
TX-489,Willacy County,Texas,76.4,3.3,128,73.1
TX-491,Williamson County,Texas,70.2,3.9,130,66.4
TX-493,Wilson County,Texas,72.8,3.6,130,69.1
TX-495,Winkler County,Texas,68.1,4.8,130,63.3
TX-497,Wise County,Texas,67.4,3.5,130,63.9
TX-499,Wood County,Texas,67.2,3.2,129,64
TX-501,Yoakum County,Texas,63.1,4.1,130,59
TX-503,Young County,Texas,67.3,3.7,130,63.6
TX-505,Zapata County,Texas,77.5,4.5,130,73
TX-507,Zavala County,Texas,74.6,4.5,130,70.1
